X1,WT_ratio_1,WT_ratio_2,WT_ratio_3,rrp6_ratio_1,rrp6_ratio_2,rrp6_ratio_3,upf1_ratio_1,upf1_ratio_2,upf1_ratio_3,u_r_ratio_1,u_r_ratio_2,u_r_ratio_3,WT_vs_rrp6_pval,WT_vs_upf1_pval,WT_vs_u_r_pval
YAL001C_intron,0.014332966,0.011345219,0.007651364,0.024206224,0.020138263,0.02000702,0.030158386,0.028473804,0.028138528,0.04024035,0.039636279,0.041934768,0.010242657,0.006021959,0.007061251
YAL003W_intron,0.01680204,0.021585598,0.017165796,0.145398824,0.154398374,0.180149978,0.021059915,0.021232584,0.022739655,0.163491589,0.203152928,0.165273868,0.005808147,0.220764761,0.005112032
YAL030W_intron,0.023788546,0.043049327,0.02613941,0.039817232,0.034798535,0.034326425,0.051223677,0.049636003,0.054859869,0.081840194,0.092836676,0.094667466,0.534466627,0.10026067,0.008400615
YBL018C_intron,0.041390728,0.042723632,0.04,0.068181818,0.034965035,0.043875686,0.046676096,0.03250774,0.051603905,0.053596615,0.086355786,0.070325901,0.530323291,0.764185659,0.087546671
YBL026W_intron,0.036433649,0.034138973,0.03865406,0.041999408,0.032800913,0.036900369,0.067546584,0.060283688,0.069043435,0.080535218,0.076034063,0.083447708,0.761419363,0.002801505,0.000401637
YBL027W_intron,0.032476952,0.033742271,0.031320031,0.03055355,0.030449892,0.029991121,0.035809401,0.035235511,0.034724816,0.032964711,0.033750066,0.034187724,0.064238931,0.04824647,0.33246961
YBL040C_intron,0.017132867,0.021970477,0.016377005,0.025351252,0.026482759,0.029860435,0.055397278,0.051150895,0.044099379,0.065631808,0.064660691,0.070058382,0.078427661,0.010636287,0.00429392
YBL050W_intron,0.012574662,0.01377583,0.009143156,0.013665788,0.012529551,0.011600316,0.025562852,0.021584498,0.022674688,0.049359769,0.049091802,0.045651678,0.551498306,0.024475091,0.000154975
YBL059C-A_intron,0.026170799,0.046242775,0.018957346,0.047457627,0.055555556,0.053075995,0.038491752,0.051233397,0.046351931,0.071428571,0.084878049,0.086238532,0.094811243,0.152332035,0.028277967
YBL059W_intron,0.112531969,0.10952381,0.097995546,0.153846154,0.163064833,0.154676259,0.238993711,0.254961832,0.265367316,0.276693456,0.306451613,0.320203304,0.00850161,0.006453431,0.007385832
YBL087C_intron,0.026926724,0.027187924,0.029772538,0.033537454,0.030105039,0.033838421,0.035514138,0.032528023,0.032712504,0.045820708,0.04370222,0.040801545,0.05340411,0.07526677,0.021891762
YBL091C-A_intron,0.142034549,0.1522158,0.125722543,0.220026351,0.245614035,0.217983651,0.171837709,0.155889146,0.150384193,0.249409914,0.242477876,0.235191638,0.003166112,0.136178858,0.003512981
YBR048W_intron,0.014270334,0.012858252,0.013751802,0.033962631,0.030101098,0.03167137,0.03874558,0.031733318,0.037303072,0.05315941,0.055439302,0.052456952,0.001591443,0.005987438,0.000991699
YBR062C_intron,0.094339623,0.111666667,0.082125604,0.100240577,0.091135046,0.085944494,0.168023686,0.134856301,0.14764268,0.175524788,0.192807193,0.173776381,0.712360988,0.074373518,0.001700942
YBR078W_intron,0.040658546,0.049176389,0.042956105,0.048510846,0.046426265,0.05044421,0.039831829,0.039345262,0.043137255,0.053840293,0.05768455,0.057355114,0.35060265,0.387004908,0.021558719
YBR082C_intron,0.022000534,0.029326265,0.018352206,0.025939714,0.022661146,0.022652891,0.02158324,0.019078133,0.023078907,0.025327715,0.030061592,0.024960338,0.897342761,0.696394646,0.17138517
YBR084C-A_intron,0.01422259,0.014144049,0.014555566,0.017903818,0.015509072,0.016408515,0.034265297,0.030629302,0.034241257,0.040267466,0.041951656,0.041861852,0.082504824,0.003623551,0.00037552
YBR090C_intron,0.185890653,0.196732471,0.159751623,0.216180371,0.197663404,0.201074186,0.330596607,0.33915212,0.340050378,0.366756757,0.350490925,0.37546575,0.182668801,0.006137719,0.009419906
YBR111W-A_intron,0.12207528,0.15026362,0.128424658,0.219271624,0.205882353,0.21564161,0.285507944,0.271047228,0.296890185,0.348783846,0.33495935,0.349408984,0.023663797,0.009898454,0.003871608
